,name,size
652,Berenike (A907 WC),49.793
653,Zelinda (A908 AM),160.736
654,Briseis (A907 VT),29.057
655,Beagle (A917 ST),62.604
656,Gunlod (A908 BK),39.401
657,Asteria (A908 BL),21.894
658,Nestor (A908 FE),112.32
659,Crescentia (A908 AN),42.302
660,Cloelia (A908 DD),40.081
661,Newtonia (A908 FF),22.127
662,Gerlinde (A908 MB),107.795
663,Judith (A908 MC),85.214
664,Sabine (A908 OE),51.09
665,Desdemona (A908 OG),32.741
666,Denise (A908 OF),88.63
667,Dora (A908 OH),21.517
668,Kypria (A908 QF),29.227
669,Ottegebe (A908 QG),35.886
670,Carnegia (A908 SJ),60.604
671,Astarte (A908 SH),35.584
672,Edda (A908 SG),37.622
673,Rachele (A908 UK),96.171
674,Ludmilla (A908 QH),76.0
675,Melitta (A909 BO),78.369
676,Aaltje (A909 BP),32.403
677,Fredegundis (A909 BQ),39.585
678,Pax (A909 BR),63.909
679,Genoveva (A909 HF),83.92
680,Gorgo (A909 JB),20.39
681,Lanzia (A909 OA),83.04
682,Hildburg (A909 PB),19.04
683,Hermia (A909 PC),10.95
684,Gersuind (A909 QA),55.258
685,Tinette (A909 QB),21.533
686,Melanie (A909 QC),41.614
687,Zita (A916 RB),15.621
688,Wratislavia (A909 UE),134.65
689,Lehigh (A909 XB),79.451
690,Hippodamia (A901 VJ),42.771
691,Zerbinetta (A909 SD),82.114
692,Ekard (A909 VC),121.891
693,Bella (A909 VD),40.62
694,Leonora (A916 BD),81.58
695,Galilea (A910 CL),80.14
696,Ernestina (A910 ED),27.037
697,Auravictrix (A910 LD),16.421
698,Oriola (A910 ND),42.943
699,Alauda (A910 OA),190.98
700,Noemi (A910 TD),7.25
701,Interamnia (A910 TC),306.313
702,Erminia (A910 TE),132.261
703,Hirundo (A910 TF),30.819
704,Steina (A910 YA),9.003
705,Raphaela (A911 CB),21.43
706,Fringilla (A911 CC),95.173
707,Gertrud (A911 DB),29.208
708,Marmulla (A911 EA),9.026
709,Boliviana (A911 FF),124.125
710,Luscinia (A911 HG),97.968
711,Ulula (A911 KG),41.343
712,Transvaalia (A911 HH),25.458
713,Berkeley (A911 OC),19.768
714,Wisibada (A911 QK),27.656
715,Erida (A911 SA),70.911
716,Bohlinia (A911 UL),33.73
717,Tabora (A911 UM),86.309
718,Frieda (A911 UN),8.257
719,Hammonia (A911 UO),23.456
720,Hapag (A911 UP),9.492
721,Amanda (A911 UQ),23.687
722,Joella (A911 WC),44.02
